Unnamed: 0_level_0_Week,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Date,Unnamed: 3_level_0_Unnamed: 3_level_1,Unnamed: 4_level_0_Unnamed: 4_level_1,Unnamed: 5_level_0_OT,Unnamed: 6_level_0_Unnamed: 6_level_1,Unnamed: 7_level_0_Opp,Score_Tm,Score_Opp,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_NY/A,Passing_Cmp%,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_FGM,Scoring_FGA,Scoring_XPM,Scoring_XPA,Punting_Pnt,Punting_Yds,Downs_3DConv,Downs_3DAtt,Downs_4DConv,Downs_4DAtt,Unnamed: 35_level_0_ToP,OriginalTable
1,Sun,September 10,boxscore,L,,,Green Bay Packers,20,38,15,27,237,3,0,1,8,9.1,8.5,55.6,122.0,32,92,2.9,1,1,1,5,5,5,249,9,16,1,2,29:17,Table_2
2,Sun,September 17,boxscore,L,,@,Tampa Bay Buccaneers,17,27,26,34,317,1,0,0,0,9.3,9.3,76.5,114.5,34,120,3.5,1,2,3,3,3,4,211,8,15,1,1,35:56,Table_2
3,Sun,September 24,boxscore,L,,@,Kansas City Chiefs,10,41,27,38,303,3,2,0,0,8.0,8.0,71.1,98.9,37,153,4.1,2,2,2,5,5,1,55,10,14,0,0,36:13,Table_2
4,Sun,October 1,boxscore,L,,,Denver Broncos,28,31,21,28,214,3,0,1,9,8.0,7.4,75.0,132.1,19,97,5.1,0,1,1,4,4,4,163,6,11,0,0,26:11,Table_2
5,Thu,October 5,boxscore,W,,@,Washington Commanders,40,20,37,51,359,2,1,5,29,7.6,6.4,72.5,96.8,10,29,2.9,0,2,3,0,0,2,103,6,12,0,1,29:56,Table_2
6,Sun,October 15,boxscore,L,,,Minnesota Vikings,13,19,21,31,174,1,0,2,7,5.8,5.3,67.7,92.7,22,46,2.1,0,2,3,1,2,5,249,2,13,1,2,24:49,Table_2
7,Sun,October 22,boxscore,W,,,Las Vegas Raiders,30,12,27,45,196,1,3,1,8,4.5,4.3,60.0,49.9,14,39,2.8,0,2,3,0,0,2,82,2,9,2,2,25:54,Table_2
8,Sun,October 29,boxscore,L,,@,Los Angeles Chargers,13,30,31,40,298,3,0,0,0,7.5,7.5,77.5,122.7,25,54,2.2,0,3,3,3,3,2,88,7,13,0,1,31:28,Table_2
9,Sun,November 5,boxscore,L,,@,New Orleans Saints,17,24,26,35,214,3,0,0,0,6.1,6.1,74.3,118.0,27,87,3.2,0,1,2,3,3,4,164,7,14,0,1,29:20,Table_2
10,Thu,November 9,boxscore,W,,,Carolina Panthers,16,13,21,38,170,0,0,3,15,4.9,4.1,55.3,66.8,16,43,2.7,0,2,3,1,1,6,272,3,15,3,3,26:29,Table_2
11,Sun,November 19,boxscore,L,,@,Detroit Lions,26,31,23,35,223,2,3,2,13,6.7,6.0,65.7,66.7,22,115,5.2,2,0,0,3,3,2,97,8,11,0,0,19:36,Table_2
12,Mon,November 27,boxscore,W,,@,Minnesota Vikings,12,10,22,32,169,1,4,2,16,5.8,5.0,68.8,52.2,17,73,4.3,0,1,1,1,1,3,116,2,9,0,2,24:10,Table_2
14,Sun,December 10,boxscore,W,,,Detroit Lions,28,13,20,35,127,1,2,4,34,4.6,3.3,57.1,50.5,24,140,5.8,1,0,0,1,2,4,207,6,15,1,5,26:41,Table_2
15,Sun,December 17,boxscore,L,,@,Cleveland Browns,17,20,29,45,348,2,3,4,31,8.4,7.1,64.4,75.0,18,29,1.6,0,2,2,2,2,9,390,4,16,1,1,31:00,Table_2
16,Sun,December 24,boxscore,W,,,Arizona Cardinals,27,16,24,38,213,2,0,2,17,6.1,5.3,63.2,95.6,20,93,4.7,0,1,1,1,1,6,313,7,16,0,1,25:28,Table_2
17,Sun,December 31,boxscore,W,,,Atlanta Falcons,37,17,13,33,173,1,4,2,7,5.5,4.9,39.4,27.3,24,134,5.6,1,1,3,2,2,3,128,4,13,0,1,22:46,Table_2
18,Sun,January 7,boxscore,L,,@,Green Bay Packers,9,17,27,32,308,2,0,1,8,9.9,9.3,84.4,127.6,27,124,4.6,0,1,2,2,2,0,0,7,10,0,0,31:24,Table_2
