Unnamed: 0_level_0_No.,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Age,Unnamed: 3_level_0_Pos,Games_G,Games_GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_IAY,Passing_IAY/PA,Passing_CAY,Passing_CAY/Cmp,Passing_CAY/PA,Passing_YAC,Passing_YAC/Cmp,TeamCode,OriginalTable,Passing_Bats,Passing_ThAwy,Passing_Spikes,Passing_Drops,Passing_Drop%,Passing_BadTh,Passing_Bad%,Passing_OnTgt,Passing_OnTgt%,Passing_Sk,Passing_PktTime,Passing_Bltz,Passing_Hrry,Passing_Hits,Passing_Prss,Passing_Prss%,Passing_Scrm,Passing_Yds/Scr,RPO_Plays,RPO_Yds,RPO_PassAtt,RPO_PassYds,RPO_RushAtt,RPO_RushYds,PlayAction_PassAtt,PlayAction_PassYds
9,Bryce Young,22,QB,16,16,315,527,2877,3980.0,7.6,1572.0,5.0,3.0,1305.0,4.1,CAR,advanced_air_yards,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Andy Dalton,36,QB,3,1,34,58,361,478.0,8.2,233.0,6.9,4.0,128.0,3.8,CAR,advanced_air_yards,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Johnny Hekker,33,P,17,0,1,1,7,-4.0,-4.0,-4.0,-4.0,-4.0,11.0,11.0,CAR,advanced_air_yards,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Bryce Young,22,QB,16,16,315,527,2877,,,,,,,,CAR,advanced_accuracy,6.0,46.0,1.0,23.0,4.8%,103.0,21.5%,352.0,73.3%,,,,,,,,,,,,,,,,,
14,Andy Dalton,36,QB,3,1,34,58,361,,,,,,,,CAR,advanced_accuracy,2.0,1.0,0.0,5.0,8.8%,11.0,19.3%,39.0,68.4%,,,,,,,,,,,,,,,,,
10,Johnny Hekker,33,P,17,0,1,1,7,,,,,,,,CAR,advanced_accuracy,0.0,0.0,0.0,0.0,0.0%,0.0,0.0%,1.0,100.0%,,,,,,,,,,,,,,,,,
9,Bryce Young,22,QB,16,16,315,527,2877,,,,,,,,CAR,advanced_pressure,,,,,,,,,,62.0,2.5,166.0,38.0,50.0,150.0,24.2%,31.0,8.4,,,,,,,,
14,Andy Dalton,36,QB,3,1,34,58,361,,,,,,,,CAR,advanced_pressure,,,,,,,,,,3.0,2.2,14.0,2.0,5.0,10.0,16.1%,1.0,10.0,,,,,,,,
10,Johnny Hekker,33,P,17,0,1,1,7,,,,,,,,CAR,advanced_pressure,,,,,,,,,,0.0,2.2,1.0,0.0,0.0,0.0,0.0%,0.0,,,,,,,,,
9,Bryce Young,22,QB,16,16,315,527,2877,,,,,,,,CAR,advanced_play_type,,,,,,,,,,,,,,,,,,,31.0,149.0,26.0,145.0,1.0,4.0,81.0,589.0
14,Andy Dalton,36,QB,3,1,34,58,361,,,,,,,,CAR,advanced_play_type,,,,,,,,,,,,,,,,,,,2.0,16.0,1.0,15.0,1.0,1.0,3.0,15.0
10,Johnny Hekker,33,P,17,0,1,1,7,,,,,,,,CAR,advanced_play_type,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
