Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Date,Unnamed: 2_level_0_G#,Unnamed: 3_level_0_Week,Unnamed: 4_level_0_Age,Unnamed: 5_level_0_Tm,Unnamed: 6_level_0_Unnamed: 6_level_1,Unnamed: 7_level_0_Opp,Unnamed: 8_level_0_Result,Unnamed: 9_level_0_GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,PlayerCode,OriginalTable,Scoring_TD,Scoring_Pts,Scoring_2PM,Unnamed: 39_level_0_Status,Unnamed: 31_level_0_Status,Unnamed: 37_level_0_Status,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Unnamed: 47_level_0_Status,Unnamed: 34_level_0_Status,Unnamed: 27_level_0_Status,Unnamed: 46_level_0_Status,Unnamed: 40_level_0_Status
1.0,2023-09-10,1.0,1.0,25.192,MIA,@,LAC,W 36-34,*,28,45,62.22,466,3,1,110.0,0,0,10.36,10.69,5,5,1.0,0,2,1,0,1,-9,0,67.0,100%,0.0,0%,0.0,0%,TAGOTU00,Table_1,,,,,,,,,,,,,,,,,,
2.0,2023-09-17,2.0,2.0,25.199,MIA,@,NWE,W 24-17,*,21,30,70.0,249,1,1,92.2,1,5,8.3,7.47,4,3,0.75,0,2,0,0,2,-4,0,63.0,100%,0.0,0%,0.0,0%,TAGOTU00,Table_1,,,,,,,,,,,,,,,,,,
3.0,2023-09-24,3.0,3.0,25.206,MIA,,DEN,W 70-20,*,23,26,88.46,309,4,0,155.8,0,0,11.88,14.96,0,0,,0,0,0,0,0,0,0,58.0,79%,0.0,0%,0.0,0%,TAGOTU00,Table_1,,,,,,,,,,,,,,,,,,
4.0,2023-10-01,4.0,4.0,25.213,MIA,@,BUF,L 20-48,*,25,35,71.43,282,1,1,92.8,4,31,8.06,7.34,2,7,3.5,0,1,0,0,2,0,0,65.0,100%,0.0,0%,0.0,0%,TAGOTU00,Table_1,,,,,,,,,,,,,,,,,,
5.0,2023-10-08,5.0,5.0,25.22,MIA,,NYG,W 31-16,*,22,30,73.33,308,2,2,100.4,1,6,10.27,8.6,2,6,3.0,0,0,0,0,0,0,0,54.0,100%,0.0,0%,0.0,0%,TAGOTU00,Table_1,,,,,,,,,,,,,,,,,,
6.0,2023-10-15,6.0,6.0,25.227,MIA,,CAR,W 42-21,*,21,31,67.74,262,3,0,126.0,0,0,8.45,10.39,1,0,0.0,0,1,0,0,0,-9,0,56.0,84%,0.0,0%,0.0,0%,TAGOTU00,Table_1,,,,,,,,,,,,,,,,,,
7.0,2023-10-22,7.0,7.0,25.234,MIA,@,PHI,L 17-31,*,23,32,71.88,216,1,1,87.5,3,10,6.75,5.97,1,-3,-3.0,0,0,0,0,1,0,0,49.0,100%,0.0,0%,0.0,0%,TAGOTU00,Table_1,,,,,,,,,,,,,,,,,,
8.0,2023-10-29,8.0,8.0,25.241,MIA,,NWE,W 31-17,*,30,45,66.67,324,3,1,100.6,2,12,7.2,7.53,6,8,1.33,0,1,1,0,0,-4,0,77.0,100%,0.0,0%,0.0,0%,TAGOTU00,Table_1,,,,,,,,,,,,,,,,,,
9.0,2023-11-05,9.0,9.0,25.248,MIA,@,KAN,L 14-21,*,21,34,61.76,193,1,0,87.0,3,18,5.68,6.26,2,7,3.5,0,1,0,0,1,-13,0,63.0,100%,0.0,0%,0.0,0%,TAGOTU00,Table_1,,,,,,,,,,,,,,,,,,
10.0,2023-11-19,10.0,11.0,25.262,MIA,,LVR,W 20-13,*,28,39,71.79,325,2,1,103.0,1,2,8.33,8.21,2,6,3.0,0,1,1,0,0,0,0,70.0,100%,0.0,0%,0.0,0%,TAGOTU00,Table_1,,,,,,,,,,,,,,,,,,
