Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),TeamCode,OriginalTable
,Offensive Starters,,,,,,2023_ROSTER.HTM,Table_1
QB,C.J. Stroud*,22.0,Rook,15.0,"319 for 499, 4,108 yards, 23 td, 5 int, & 39 rushes for 167 yards and 3 td",,2023_ROSTER.HTM,Table_1
RB,Devin Singletary,26.0,4,10.0,"216 rushes for 898 yards, 4 td, & 30 catches for 193 yards and 0 td",,2023_ROSTER.HTM,Table_1
FB,Andrew Beck,27.0,4,12.0,"5 rushes for 3 yards, 1 td, & 11 catches for 55 yards and 2 td",,2023_ROSTER.HTM,Table_1
WR,Nico Collins,24.0,2,10.0,"80 catches for 1,297 yards, 8 td, & 1 rush for 7 yards and 0 td",,2023_ROSTER.HTM,Table_1
WR,Robert Woods,31.0,10,11.0,"40 catches for 426 yards, 1 td, & 1 rush for 7 yards and 0 td",,2023_ROSTER.HTM,Table_1
TE,Dalton Schultz,27.0,5,8.0,"59 catches for 635 yards, 5 td",,2023_ROSTER.HTM,Table_1
LT,Laremy Tunsil*,29.0,7,14.0,,,2023_ROSTER.HTM,Table_1
LG,Tytus Howard,27.0,4,7.0,1 fumble recovered,,2023_ROSTER.HTM,Table_1
C,Michael Deiter,27.0,4,10.0,,,2023_ROSTER.HTM,Table_1
RG,Shaq Mason,30.0,8,17.0,,,2023_ROSTER.HTM,Table_1
RT,George Fant,31.0,7,13.0,1 fumble recovered,,2023_ROSTER.HTM,Table_1
,Defensive Starters,,,,,,2023_ROSTER.HTM,Table_1
LDE,Will Anderson*,22.0,Rook,13.0,"7.0 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
LDT,Maliek Collins,28.0,7,16.0,"5.0 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RDT,Sheldon Rankins,29.0,7,15.0,"6.0 sacks, 0 interceptions, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
RDE,Jonathan Greenard,26.0,3,15.0,"12.5 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
LLB,Denzel Perryman,31.0,8,11.0,"0.5 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
MLB,Blake Cashman,27.0,4,13.0,"2.0 sacks, 1 interception, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
RLB,Henry To'oTo'o,22.0,Rook,6.0,"0.0 sacks, 0 interceptions, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
LCB,Steven Nelson,30.0,8,16.0,"0.0 sacks, 4 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
RCB,Derek Stingley Jr.,22.0,1,11.0,"0.0 sacks, 5 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
SS,Jimmie Ward,32.0,9,10.0,"0.0 sacks, 1 interception, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
FS,Jalen Pitre,24.0,1,15.0,"0.0 sacks, 0 interceptions, 1 fumble recovered",,2023_ROSTER.HTM,Table_1
,Offensive Starters,,,,,,2023_ROSTER.HTM,Table_1
QB,Justin Fields,24.0,2,13.0,"227 for 370, 2,562 yards, 16 td, 9 int, & 124 rushes for 657 yards and 4 td",,2023_ROSTER.HTM,Table_1
RB,Khalil Herbert,25.0,2,9.0,"132 rushes for 611 yards, 2 td, & 20 catches for 134 yards and 1 td",,2023_ROSTER.HTM,Table_1
WR,Darnell Mooney,26.0,3,14.0,"31 catches for 414 yards, 1 td, & 2 rushes for 5 yards and 0 td",,2023_ROSTER.HTM,Table_1
WR,D.J. Moore,26.0,5,17.0,"96 catches for 1,364 yards, 8 td, & 4 rushes for 21 yards and 1 td",,2023_ROSTER.HTM,Table_1
TE,Cole Kmet,24.0,3,17.0,"73 catches for 719 yards, 6 td, & 3 rushes for 2 yards and 0 td",,2023_ROSTER.HTM,Table_1
TE,Robert Tonyan,29.0,5,6.0,"11 catches for 112 yards, 0 td",,2023_ROSTER.HTM,Table_1
LT,Braxton Jones,24.0,1,11.0,1 fumble recovered,,2023_ROSTER.HTM,Table_1
LG,Cody Whitehair,31.0,7,11.0,,,2023_ROSTER.HTM,Table_1
C,Lucas Patrick,30.0,6,15.0,2 fumbles recovered,,2023_ROSTER.HTM,Table_1
RG,Nate Davis,27.0,4,11.0,,,2023_ROSTER.HTM,Table_1
RT,Darnell Wright,22.0,Rook,17.0,,,2023_ROSTER.HTM,Table_1
,Defensive Starters,,,,,,2023_ROSTER.HTM,Table_1
LDE,Yannick Ngakoue,28.0,7,13.0,"4.0 sacks, 0 interceptions, 0 fumbles recovered",,2023_ROSTER.HTM,Table_1
LDT,Andrew Billings,28.0,6,17.0,,,2023_ROSTER.HTM,Table_1
